,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
26,"( ( ( ( x_2 <= -0.233 or x_0 <= -0.2232 ) or ( x_0 <= -0.2332 or x_0 <= -0.3332 ) ) and ( ( x_0 <= -0.3632 or x_0 <= -0.3632 ) or ( x_0 <= -0.3632 until[26,33] x_2 <= -0.3332 ) ) ) until[2,inf] ( ( ( x_2 <= -0.3332 or x_1 <= -0.3232 ) or ( x_0 <= -0.3632 or x_1 <= -0.3222 ) ) or ( ( x_2 <= -0.3632 or x_0 >= -0.3632 ) or ( x_1 <= -0.366 or x_2 <= -0.3632 ) ) ) )","( ( ( ( x_2 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) until[20,23] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[27,34] x_2 <= -0.0005 ) or ( x_0 <= -0.2005 until[27,34] x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) until[26,32] ( x_2 <= -0.0505 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0367 ) or ( x_0 <= -0.0967 or x_0 <= -0.0997 ) ) until[10,25] ( ( x_0 <= -0.0997 or x_0 <= -0.0397 ) or ( x_0 <= -0.0997 and x_0 <= -0.0997 ) ) ) until[10,22] ( ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.0997 or x_2 <= -0.0997 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) and ( x_0 <= -0.099 and x_0 <= -0.0997 ) ) ) )","always[19,inf] ( ( x_2 <= -0.4229 until[19,21] x_0 >= -1.0222 ) )","( ( x_2 <= 0.5705 or eventually[9,12] ( ( x_2 <= -2.3498 until[10,inf] x_1 <= -0.9511 ) ) ) and ( ( ( x_2 <= 0.3516 or x_0 <= -0.9816 ) until[11,inf] ( x_1 <= 1.504 until[15,17] not ( always[1,12] ( eventually[6,inf] ( x_2 >= -0.3639 ) ) ) ) ) and x_0 >= -0.8914 ) )"
27,( ( ( x_2 >= 0.3332 or x_2 >= 0.5332 ) and ( x_2 >= 0.5332 or x_2 >= 0.5332 ) ) and ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) or ( x_1 >= -0.5332 or x_2 >= -0.5332 ) ) ),"( ( ( ( x_2 >= -0.1555 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.1555 until[10,25] x_2 <= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0505 ) or ( x_2 <= -0.1555 or x_2 <= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.1505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1555 ) ) ) )","( ( ( x_2 >= 0.5037 or x_2 >= -0.5697 ) or ( x_2 >= 0.5697 or x_2 >= -0.5697 ) ) or ( ( x_0 >= -0.5697 or x_2 >= -0.5697 ) until[11,29] ( x_0 >= -0.5697 or x_2 >= -0.5697 ) ) )","eventually[1,13] ( x_2 >= 0.6223 )","always[16,20] ( x_2 >= 0.5817 )"
28,"eventually[25,33] ( ( ( x_2 <= 0.233 or x_2 <= 0.233 ) until[23,33] ( x_2 <= -0.233 or x_2 <= 0.2232 ) ) )","eventually[24,33] ( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) until[22,32] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.2225 or x_2 <= -0.0005 ) ) ) )","( ( ( ( ( x_0 <= -0.0337 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0967 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0937 and x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) and ( x_0 <= -0.0997 and x_0 >= -0.0997 ) ) ) ) or always[10,25] ( eventually[10,25] ( ( ( x_2 <= -0.0997 and x_2 <= -0.0097 ) and ( x_2 <= -0.0997 and x_2 <= -0.0097 ) ) ) ) )","eventually[19,inf] ( x_2 <= 0.1925 )","eventually[3,16] ( ( ( x_2 >= 0.7381 until ( x_0 <= -1.2229 until x_1 >= 1.5174 ) ) or not ( eventually[15,inf] ( always[14,17] ( eventually ( ( x_2 >= 0.8563 or x_2 >= 0.123 ) ) ) ) ) ) )"
29,"( ( ( ( x_2 >= -0.5332 or x_2 >= -0.5332 ) or ( x_0 >= -0.5332 or x_0 >= -0.5332 ) ) or ( ( x_0 >= -0.5332 or x_2 >= -0.6332 ) and ( x_1 >= -0.6332 or x_2 >= -0.6332 ) ) ) until[2,inf] ( ( ( x_2 >= -0.6332 or x_1 >= -0.6332 ) or ( x_2 >= -0.6332 or x_1 >= -0.6332 ) ) or ( ( x_2 >= -0.6332 or x_1 >= -0.6332 ) and ( x_1 >= -0.6332 or x_2 >= -0.6332 ) ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0055 ) or ( x_2 >= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[21,30] x_2 <= -0.0005 ) ) ) until[10,20] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.5331 or x_2 >= -0.0397 ) or ( x_0 >= -0.0397 or x_2 >= -0.0397 ) ) until[10,25] ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) ) or eventually[10,25] ( eventually[10,25] ( ( x_2 >= 0.9991 or x_2 >= 0.9997 ) ) ) )","eventually[19,inf] ( x_2 >= 1.029 )","eventually[5,inf] ( not ( always[15,21] ( x_2 <= 1.1313 ) ) )"
30,"( ( ( x_0 >= -0.533 or x_0 >= -0.633 ) and ( x_0 >= -0.6632 or x_2 >= -0.6632 ) ) or ( ( x_2 >= -0.6632 until[2,28] x_0 >= -0.6332 ) until[2,inf] ( x_2 >= -0.4332 or x_1 >= -0.6632 ) ) )","( ( ( ( x_2 <= -0.5055 or x_0 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_0 >= -0.0005 or x_2 <= -0.0005 ) or ( x_0 >= -0.0005 or x_0 >= -0.0005 ) ) or ( ( x_0 >= -0.2005 or x_2 <= -0.0005 ) or ( x_0 >= -0.0555 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_0 >= -0.6631 or x_2 >= -0.0367 ) or ( x_0 >= -0.6667 or x_0 >= -0.6667 ) ) or ( ( x_0 >= -0.6667 or x_0 >= -0.0397 ) or ( x_0 >= -0.0667 and x_0 >= -0.0661 ) ) ) until[10,22] ( ( ( x_0 >= -0.6697 or x_2 >= -0.0397 ) or ( x_0 >= -0.0661 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 and x_0 >= -0.0697 ) or ( x_0 >= -0.069 and x_2 >= -0.066 ) ) ) )","( x_0 >= -0.8999 until[16,19] x_2 >= -0.8929 )","( ( ( x_0 >= -0.5516 or x_2 <= 0.026 ) until[17,inf] not ( ( x_0 >= 1.6171 and ( x_2 <= -1.3636 and always[13,21] ( not ( ( x_2 <= -1.3286 and x_2 >= -0.9235 ) ) ) ) ) ) ) and x_2 >= -0.9806 )"
31,not ( ( ( x_2 <= 0.3332 or x_2 <= 0.3332 ) or ( x_2 <= 0.3332 or x_2 <= 0.333 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( not ( not ( x_2 <= 0.5099 ) ) ),"eventually[1,13] ( x_2 >= 0.3223 )","always[7,17] ( x_2 >= 0.3674 )"
32,( ( ( x_2 <= 0.533 or x_2 <= 0.333 ) and ( x_2 <= -0.333 or x_2 <= 0.533 ) ) or ( ( x_2 <= 0.533 and x_2 <= -0.363 ) and ( x_2 <= 0.533 and x_2 <= -0.363 ) ) ),( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ),( ( ( x_2 <= -0.0391 or x_2 <= -0.539 ) or ( x_2 <= -0.5397 or x_2 <= -0.5397 ) ) or ( ( x_0 <= -0.5397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ),( x_2 <= 0.4225 or x_0 <= -1.0224 ),( not ( x_0 >= -1.1668 ) or x_2 <= 0.4726 )
33,not ( ( ( x_2 >= 0.533 or x_2 >= 0.533 ) and ( x_2 >= 0.633 or x_2 >= 0.633 ) ) ),not ( ( ( x_2 >= 0.7555 and x_2 >= -0.5055 ) and ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) ),not ( not ( not ( x_2 >= 0.7999 ) ) ),not ( x_2 >= 0.6295 ),not ( not ( x_2 <= 0.5928 ) )
34,not ( ( ( x_2 <= 0.233 or x_2 <= 0.2332 ) or ( x_2 <= -0.0332 or x_2 <= 0.1332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= -0.0037 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ),"eventually[15,18] ( x_2 >= 0.0222 )","( x_2 >= -0.7655 until[17,19] x_2 >= 0.0694 )"
35,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.1525 or x_2 >= -0.2005 ) ) ),not ( not ( not ( x_2 >= -0.1391 ) ) ),not ( x_2 >= -0.1223 ),not ( x_2 >= -0.1672 )
36,"eventually[25,33] ( eventually[1,inf] ( not ( x_2 <= 0.2332 ) ) )","eventually[21,24] ( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) or ( ( x_0 <= -0.1555 until[22,30] x_2 >= -0.0005 ) or ( x_2 >= -0.1555 until[22,30] x_2 >= -0.0555 ) ) ) )","eventually[10,28] ( eventually[10,25] ( not ( always[10,13] ( x_2 <= 0.4097 ) ) ) )","eventually[19,inf] ( x_2 >= 0.2925 )","eventually[13,inf] ( ( ( x_2 >= 0.8735 until[1,4] x_2 >= 0.1792 ) or x_2 >= 0.2877 ) )"
37,not ( ( ( x_2 >= 0.533 and x_2 >= 0.633 ) and ( x_2 >= 0.633 or x_2 >= 0.636 ) ) ),( ( ( x_2 <= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0555 or x_2 <= -0.0555 ) ) ),not ( ( ( x_2 >= 0.5397 or x_2 >= 0.7397 ) and ( x_2 >= 0.7397 and x_0 >= -0.9397 ) ) ),( x_2 <= 0.6226 or x_2 <= 0.629 ),"( x_2 <= 0.6059 or eventually[0,17] ( x_0 <= -1.5162 ) )"
38,not ( ( ( x_2 >= -0.733 or x_2 >= -0.623 ) or ( x_2 >= -0.636 or x_2 >= -0.626 ) ) ),"( ( ( x_2 <= -0.7055 or x_2 <= -0.7005 ) or ( x_2 <= -0.7005 and x_2 <= -0.7005 ) ) until[1,10] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= -0.599 ) or ( x_2 <= -0.5997 and x_2 <= -0.6997 ) ) and ( ( x_2 <= -0.6997 or x_2 <= -0.5997 ) and ( x_0 <= -0.699 and x_2 <= -0.5997 ) ) ),not ( x_2 >= -0.7229 ),not ( x_2 >= -0.72 )
39,"( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) and ( x_2 <= -0.533 or x_2 <= -0.526 ) ) until[15,23] ( ( x_2 <= -0.632 or x_2 <= -0.626 ) or ( x_2 <= -0.626 or x_2 <= -0.626 ) ) )","( ( ( ( x_2 <= -0.5155 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) )","( ( ( ( x_2 <= -0.5337 or x_2 <= -0.0397 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) and ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.099 and x_0 <= -0.0997 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) and ( x_0 <= -0.099 and x_0 <= -0.099 ) ) ) )","( x_2 <= -0.629 until[19,21] x_2 <= -0.6229 )","( ( x_2 >= 0.5519 or x_2 <= -0.2558 ) and ( x_2 >= -2.1553 until[9,inf] x_2 <= -0.7208 ) )"
40,"( ( ( x_2 >= -0.333 or x_0 >= -0.363 ) and ( x_0 >= -0.363 or x_0 >= -0.3632 ) ) or ( ( x_1 >= -0.3632 until[2,28] x_2 >= -0.3632 ) and ( x_0 >= -0.3632 until[2,28] x_1 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.2055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_0 >= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 >= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.0367 ) or ( x_2 >= -0.0667 or x_0 >= -0.0667 ) ) or ( ( x_0 >= -0.0667 or x_0 >= -0.0367 ) or ( x_0 >= -0.0667 and x_2 >= -0.0667 ) ) ) until[10,22] ( ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0697 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.096 and x_2 >= -0.066 ) or ( x_0 >= -0.069 and x_0 >= -0.069 ) ) ) )",( x_2 >= -0.5299 and x_0 >= -0.6299 ),"not ( ( always[0,15] ( not ( always ( ( not ( not ( eventually[13,20] ( ( x_2 >= -0.3941 and x_1 >= 0.0208 ) ) ) ) until[3,17] x_0 >= -0.1106 ) ) ) ) and ( x_2 <= -0.5903 or ( x_0 <= -0.2635 and x_1 >= -0.2409 ) ) ) )"
41,"( ( ( x_2 <= 0.333 or x_2 <= 0.333 ) and ( x_2 <= -0.333 or x_2 <= 0.333 ) ) or ( ( x_2 <= 0.333 and x_2 <= 0.363 ) until[2,22] ( x_2 <= 0.333 or x_2 <= 0.363 ) ) )","not ( ( ( ( x_2 >= -0.0555 and x_2 >= -0.0055 ) and ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) ) )","( ( ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) until[1,19] ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0097 ) ) ) )","eventually[19,21] ( eventually[1,13] ( x_2 <= 0.4223 ) )","eventually[0,18] ( eventually[14,18] ( x_2 <= 0.435 ) )"
42,"eventually[23,30] ( ( ( x_2 >= 0.233 or x_2 >= 0.2332 ) until[23,33] ( x_2 >= -0.3332 or x_2 >= 0.3332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1555 until[25,33] x_2 <= -0.0005 ) and ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0055 ) ) ) or always[23,30] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0555 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) ) )","eventually[10,28] ( eventually[10,25] ( not ( ( x_2 <= 0.3967 and x_2 <= 0.3791 ) ) ) )","eventually[19,inf] ( x_2 >= 0.1225 )",eventually ( x_2 >= 0.1593 )
43,"( ( ( ( x_2 >= -0.3332 or x_0 >= -0.3332 ) or ( x_0 >= -0.3332 or x_0 >= -0.5332 ) ) and ( ( x_2 >= -0.5332 or x_0 >= -0.5332 ) or ( x_0 >= -0.5332 or x_2 >= -0.5332 ) ) ) until[23,27] not ( ( ( x_2 <= 0.5332 or x_2 <= 0.6332 ) or ( x_1 <= -0.5332 or x_2 <= -0.6332 ) ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[23,30] x_2 <= -0.0555 ) ) ) until[10,25] not ( ( ( x_2 <= -0.0555 or x_2 <= -0.0555 ) and ( x_2 <= -0.1555 and x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 or x_0 >= -0.0397 ) ) until[10,25] ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_0 >= -0.0397 ) ) ) until[10,22] not ( eventually[10,13] ( ( x_2 <= 0.7691 and x_2 <= 0.7097 ) ) ) )","always[19,inf] ( x_2 >= 0.6225 )","always[8,inf] ( not ( x_2 <= 0.6122 ) )"
44,not ( not ( not ( x_2 <= -0.322 ) ) ),not ( ( ( x_2 >= -0.5155 or x_2 >= -0.4055 ) or ( x_2 >= -0.5005 or x_2 >= -0.5005 ) ) ),not ( not ( not ( x_2 >= -0.5391 ) ) ),not ( x_2 >= -0.3222 ),not ( x_2 >= -0.3872 )
45,( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) and ( x_2 >= 0.5332 or x_2 >= 0.5332 ) ) and ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) or ( x_1 >= -0.5332 or x_2 >= -0.5362 ) ) ),"( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) )",( ( ( x_2 >= 0.5661 or x_2 >= -0.5691 ) or ( x_2 >= 0.5697 or x_2 >= -0.5697 ) ) and ( ( x_0 >= -0.5697 or x_2 >= -0.5697 ) or ( x_0 >= -0.5697 and x_2 >= -0.5697 ) ) ),"eventually[1,13] ( x_2 >= 0.6223 )","always[13,19] ( not ( x_2 <= 0.6306 ) )"
46,not ( ( ( x_2 >= -0.533 or x_2 >= -0.523 ) or ( x_2 >= -0.526 or x_2 >= -0.626 ) ) ),"( ( ( x_2 <= -0.5155 or x_2 <= -0.7005 ) or ( x_2 <= -0.5005 and x_2 <= -0.7005 ) ) until[1,10] ( ( x_2 <= -0.5005 or x_2 <= -0.7005 ) or ( x_2 <= -0.0005 or x_2 <= -0.2005 ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= -0.599 ) or ( x_2 <= -0.5997 and x_2 <= -0.5997 ) ) and ( ( x_2 <= -0.5997 or x_2 <= -0.5997 ) and ( x_0 <= -0.599 and x_2 <= -0.5997 ) ) ),not ( x_2 >= -0.6222 ),"( x_2 <= -0.5915 until[4,18] x_2 <= -0.2794 )"
47,"( ( ( ( x_2 <= -0.233 or x_1 <= -0.233 ) or ( x_1 <= -0.233 or x_1 <= -0.133 ) ) or ( ( x_1 >= -0.233 or x_1 >= -0.3232 ) or ( x_1 >= -0.1632 until[2,inf] x_1 <= -0.3332 ) ) ) until[2,inf] ( ( ( x_1 >= -0.333 or x_2 >= -0.2222 ) or ( x_1 >= -0.2232 or x_1 >= -0.2222 ) ) or ( ( x_1 >= -0.2332 or x_1 >= -0.2232 ) or ( x_1 <= -0.2632 or x_2 >= -0.2632 ) ) ) )","( ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[27,34] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[23,30] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.2205 until[26,32] x_2 <= -0.0505 ) or ( x_1 <= -0.0505 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0367 ) or ( x_2 <= -0.0367 or x_2 <= -0.0367 ) ) or ( ( x_1 <= -0.0367 or x_0 <= -0.0397 ) or ( x_1 <= -0.0367 or x_0 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) until[10,22] ( ( x_1 <= -0.039 or x_2 <= -0.039 ) or ( x_0 <= -0.039 and x_2 >= -0.009 ) ) ) )","( x_2 <= -0.2929 or eventually[19,21] ( ( x_1 <= -0.2229 or x_2 <= 0.2229 ) ) )","eventually[19,inf] ( ( not ( x_2 >= -0.1285 ) or x_1 <= -0.377 ) )"
48,not ( ( ( x_2 <= 0.7332 or x_2 <= 0.7332 ) or ( x_2 <= 0.7332 or x_2 <= 0.7332 ) ) ),( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) and ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) ),not ( not ( not ( x_2 <= 0.7999 ) ) ),not ( x_2 <= 0.7263 ),"eventually[3,5] ( x_2 >= 0.7344 )"
49,"( ( ( ( x_2 <= -0.233 or x_2 <= -0.2232 ) or ( x_0 <= -0.2232 or x_0 <= -0.3332 ) ) until[2,inf] ( ( x_2 <= -0.3332 or x_1 <= -0.3232 ) or ( x_0 <= -0.3632 or x_2 <= -0.3632 ) ) ) until[1,inf] ( ( ( x_1 <= -0.3332 or x_2 <= -0.2222 ) or ( x_1 <= -0.2222 or x_2 <= -0.2222 ) ) or ( ( x_1 <= -0.2632 or x_2 <= -0.2632 ) or ( x_1 <= -0.2632 or x_2 <= -0.3632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[22,30] x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1525 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2205 or x_2 <= -0.0005 ) or ( x_0 <= -0.2205 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0367 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) or ( x_0 <= -0.0997 and x_0 <= -0.0997 ) ) ) )","( ( x_2 <= -0.0299 or x_2 <= -0.2229 ) until[19,21] ( x_2 <= 0.2229 or x_1 <= -0.2229 ) )","( x_2 >= -2.0026 and always[19,21] ( eventually[13,18] ( eventually[12,21] ( x_2 <= 0.0876 ) ) ) )"
50,"( ( ( x_2 <= -0.233 or x_2 <= 0.233 ) or ( x_2 <= -0.233 and x_2 <= -0.2232 ) ) until[23,33] ( ( x_2 <= -0.333 or x_2 <= -0.2232 ) or ( x_1 <= -0.332 or x_2 <= -0.3222 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1005 until[22,30] x_2 <= -0.0005 ) or ( x_0 <= -0.0005 until[20,23] x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.1005 until[22,30] x_2 <= -0.0005 ) or ( x_0 <= -0.2205 until[20,26] x_2 <= -0.0505 ) ) or ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.0505 ) or ( x_0 <= -0.1525 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) and ( x_0 <= -0.099 and x_0 <= -0.0997 ) ) ) )","eventually[19,21] ( ( x_2 <= -0.022 or ( x_2 <= -0.0222 until[19,21] x_2 <= 0.2225 ) ) )","not ( ( not ( not ( ( always ( not ( always[10,inf] ( x_2 <= -0.3625 ) ) ) until[13,21] x_1 <= 1.5459 ) ) ) and x_2 >= -0.0638 ) )"
