,Formula
115,"( ( always[27,inf] ( not ( x_0 >= -0.4003 ) ) or ( eventually[16,29] ( x_2 <= 2.223 ) and ( x_0 <= 1.4302 until[7,29] x_0 <= -1.102 ) ) ) until ( ( not ( x_3 <= 1.5456 ) or always[2,5] ( x_0 <= 0.6957 ) ) and ( eventually[16,33] ( x_1 >= -1.6215 ) and always[22,inf] ( x_0 <= 0.3172 ) ) ) )"
116,"eventually ( always[15,inf] ( not ( ( x_1 <= 1.0025 or x_2 <= 0.3108 ) ) ) )"
117,"( not ( ( not ( x_2 <= -1.2353 ) until ( x_3 >= -1.6798 until[33,inf] x_2 <= -0.9246 ) ) ) until[28,33] eventually[5,33] ( ( ( x_3 <= 0.4551 or x_0 <= 0.2775 ) until[2,inf] not ( x_0 <= 0.8708 ) ) ) )"
118,"( ( not ( not ( x_3 >= -0.2426 ) ) or ( ( x_2 <= -0.9044 until[10,31] x_3 <= 0.0812 ) or always[10,inf] ( x_2 >= -1.1013 ) ) ) and not ( always[34,36] ( always[11,23] ( x_1 >= 0.3408 ) ) ) )"
119,"( always[7,10] ( eventually[1,12] ( ( x_1 <= -1.2658 or x_0 >= -2.2469 ) ) ) until always[21,29] ( not ( not ( x_0 <= -0.4954 ) ) ) )"
120,"( ( ( ( x_2 >= -0.6108 or x_1 >= 0.5246 ) and eventually[9,24] ( x_1 >= -0.568 ) ) or not ( always[15,21] ( x_3 >= -0.5752 ) ) ) or ( ( ( x_2 >= 0.5782 until[16,21] x_2 <= 0.315 ) and not ( x_3 <= 1.3502 ) ) or ( not ( x_1 >= 0.8155 ) and eventually[19,23] ( x_3 >= 0.2517 ) ) ) )"
121,"( always[18,33] ( eventually[8,16] ( always[4,31] ( x_3 <= 1.4479 ) ) ) and eventually[3,29] ( ( eventually[13,21] ( x_0 >= 0.0866 ) until[20,22] ( x_3 >= 0.7793 and x_0 <= 1.0203 ) ) ) )"
122,"always[12,inf] ( ( ( not ( x_3 <= 1.0717 ) until[33,36] always[26,29] ( x_2 >= -0.5469 ) ) or ( ( x_0 <= 1.2753 and x_2 <= 1.268 ) or always[18,inf] ( x_3 <= 0.3188 ) ) ) )"
123,"( always[25,inf] ( ( not ( x_1 >= -0.4058 ) or not ( x_3 >= -2.2915 ) ) ) or not ( ( not ( x_2 <= -0.6912 ) until[1,36] not ( x_0 <= -0.545 ) ) ) )"
124,"( ( ( always[34,36] ( x_1 <= 0.0776 ) and always[0,9] ( x_2 <= 0.9862 ) ) or eventually[6,19] ( not ( x_3 <= -0.7464 ) ) ) until[25,32] ( eventually[13,inf] ( not ( x_0 >= -0.5069 ) ) and ( ( x_3 >= 0.3727 until[29,33] x_2 <= 0.2071 ) and always[7,inf] ( x_1 >= -0.5508 ) ) ) )"
125,"eventually[17,31] ( always[23,28] ( ( ( x_0 <= -0.4159 or x_0 <= -0.8954 ) or always[23,inf] ( x_1 <= 1.142 ) ) ) )"
126,not ( not ( ( ( x_1 <= 1.2499 or x_3 >= -1.249 ) or ( x_1 <= 0.2662 or x_2 >= -0.6679 ) ) ) )
127,"eventually[24,inf] ( ( ( not ( x_0 >= -0.6401 ) and ( x_2 <= -0.5173 and x_1 <= -0.6839 ) ) until[31,34] not ( not ( x_2 <= -0.6898 ) ) ) )"
128,"( ( ( eventually[11,inf] ( x_2 <= 0.0085 ) or eventually ( x_1 <= -0.9028 ) ) until[10,20] always[22,inf] ( always[6,29] ( x_3 <= -1.107 ) ) ) and not ( eventually[3,22] ( always[6,23] ( x_2 >= 0.8242 ) ) ) )"
129,"not ( ( ( ( x_3 <= -0.1047 until[2,8] x_2 <= 1.4502 ) and ( x_0 >= 1.2491 until[12,28] x_3 >= -0.7165 ) ) and ( ( x_3 <= -1.195 until[28,31] x_1 <= -0.2483 ) and not ( x_3 >= 0.6376 ) ) ) )"
130,"( not ( always[25,30] ( ( x_2 <= -0.3269 or x_3 <= 0.7647 ) ) ) until[17,28] always ( ( eventually[10,17] ( x_0 <= -0.4862 ) and ( x_2 <= -0.3477 or x_3 <= 0.2011 ) ) ) )"
131,"( always[14,36] ( eventually[9,36] ( ( x_0 >= -0.3457 until[3,11] x_0 >= -0.0584 ) ) ) or always[33,36] ( always[12,18] ( ( x_0 >= 0.3747 and x_2 <= -0.5118 ) ) ) )"
132,"eventually[23,31] ( not ( ( ( x_3 <= 0.9632 or x_1 <= -0.6746 ) or eventually[20,27] ( x_3 <= -0.3243 ) ) ) )"
133,"not ( ( always[4,inf] ( eventually[16,21] ( x_3 <= 1.1087 ) ) until[0,36] eventually[7,30] ( eventually[0,inf] ( x_0 <= -0.6738 ) ) ) )"
134,"always[28,36] ( ( ( ( x_0 <= 0.1564 until[27,29] x_2 <= 1.2703 ) and always[8,inf] ( x_0 >= -1.0219 ) ) and eventually[5,23] ( always[4,11] ( x_2 <= 0.9278 ) ) ) )"
135,"always[2,28] ( ( ( eventually[33,35] ( x_0 >= -0.4637 ) or ( x_2 >= 0.0637 or x_1 <= 1.2888 ) ) or always[9,22] ( always ( x_3 >= 0.8834 ) ) ) )"
136,"( ( ( eventually ( x_3 >= 1.0675 ) or eventually[1,29] ( x_3 >= 0.2885 ) ) and ( ( x_0 <= -1.5511 or x_3 >= 0.1133 ) or ( x_3 >= 0.8874 until[8,21] x_3 <= 0.9382 ) ) ) or eventually[4,33] ( ( not ( x_2 <= -0.4682 ) or ( x_2 <= -0.0605 and x_0 >= 0.2679 ) ) ) )"
137,"( not ( ( ( x_0 <= 1.65 and x_2 <= -0.2487 ) and ( x_1 <= -2.188 and x_1 >= -1.4328 ) ) ) or eventually[29,inf] ( not ( not ( x_2 >= -0.1483 ) ) ) )"
138,"eventually[4,inf] ( not ( ( ( x_0 >= -0.1622 until[29,33] x_1 >= 0.1941 ) and eventually ( x_1 <= -0.3047 ) ) ) )"
139,"( eventually[33,inf] ( ( ( x_0 <= 0.2366 until[21,35] x_1 <= -0.7578 ) and ( x_0 >= -0.745 until[20,inf] x_2 <= -0.4702 ) ) ) and ( ( ( x_2 >= 0.0229 until[6,inf] x_3 >= -0.3424 ) and not ( x_2 <= -0.8447 ) ) and not ( always[31,35] ( x_0 <= 0.8409 ) ) ) )"
140,"eventually[24,31] ( ( always[6,25] ( not ( x_1 <= 0.4123 ) ) and ( eventually[5,30] ( x_2 >= -2.2506 ) until[11,28] not ( x_2 >= -0.4998 ) ) ) )"
141,"( always[13,29] ( eventually[0,inf] ( not ( x_1 <= -1.4696 ) ) ) and eventually[17,inf] ( ( ( x_2 <= 1.1366 until[22,25] x_0 >= -3.3284 ) or always[11,31] ( x_2 >= -1.305 ) ) ) )"
142,"( not ( ( ( x_3 <= -0.0196 until[33,inf] x_3 <= 0.2193 ) and ( x_3 <= -1.0875 until[17,inf] x_3 <= -1.16 ) ) ) or ( ( always ( x_1 >= 0.2557 ) until[22,inf] ( x_1 <= 0.9763 until[12,inf] x_2 <= -0.3102 ) ) or not ( always[30,32] ( x_3 <= -0.5521 ) ) ) )"
143,"not ( always[20,22] ( ( not ( x_0 >= -1.2868 ) and ( x_3 >= 1.383 and x_1 >= 0.5033 ) ) ) )"
144,"( ( ( ( x_2 <= 0.0492 or x_0 <= 0.7876 ) and ( x_3 >= -0.3424 until[30,34] x_1 >= 1.2546 ) ) until[11,29] eventually[9,35] ( not ( x_1 >= 1.271 ) ) ) and always[24,inf] ( always[18,26] ( not ( x_1 >= -0.862 ) ) ) )"
145,"( not ( always[20,30] ( ( x_3 >= -1.363 and x_2 >= -0.1708 ) ) ) and ( ( ( x_0 >= 0.873 until[22,25] x_1 <= -0.6892 ) and eventually[31,33] ( x_3 >= 0.8847 ) ) and ( ( x_3 >= 0.7435 and x_0 >= 0.2773 ) until[12,23] eventually[7,23] ( x_2 >= 1.082 ) ) ) )"
146,"( always[27,inf] ( eventually[8,34] ( eventually[12,33] ( x_0 >= -1.2485 ) ) ) and not ( ( always[18,27] ( x_3 <= 0.8002 ) and not ( x_2 >= 1.292 ) ) ) )"
147,"( always ( ( ( x_3 >= -0.3743 or x_1 >= -0.6548 ) and not ( x_3 <= -0.1572 ) ) ) and ( ( ( x_1 <= -1.0117 and x_0 >= 0.882 ) until[17,20] ( x_3 <= 0.0925 or x_2 >= -0.6818 ) ) or ( ( x_0 >= 0.0975 or x_3 <= -1.4461 ) or always[4,19] ( x_2 >= -0.9944 ) ) ) )"
148,"( not ( ( eventually[30,32] ( x_2 >= 0.2344 ) or ( x_1 <= 0.3023 or x_0 >= -0.8205 ) ) ) and ( ( ( x_2 >= -0.6361 and x_3 <= 0.2626 ) or eventually[16,21] ( x_0 <= -0.2426 ) ) or not ( ( x_2 <= -0.7315 and x_0 <= 1.4224 ) ) ) )"
149,"not ( ( ( always[33,35] ( x_0 >= -2.1695 ) or eventually[1,inf] ( x_2 <= -0.8284 ) ) and ( not ( x_0 <= -0.1292 ) and ( x_1 >= 1.0716 and x_3 <= 0.4143 ) ) ) )"
150,"( not ( ( always[15,17] ( x_3 >= -0.642 ) and not ( x_2 <= -0.6874 ) ) ) or always[17,26] ( always[14,inf] ( always ( x_3 >= -0.5197 ) ) ) )"
151,"always[4,24] ( always[14,21] ( not ( ( x_1 <= -0.924 and x_0 >= 0.7486 ) ) ) )"
152,"( ( eventually[11,inf] ( eventually ( x_3 <= 0.535 ) ) or ( ( x_3 <= -0.212 until[10,28] x_2 >= -0.2573 ) and ( x_0 <= 0.8514 or x_0 >= -0.2808 ) ) ) until[5,27] always[12,14] ( not ( ( x_0 >= 0.3221 or x_2 >= -1.0121 ) ) ) )"
153,"( ( ( eventually[9,28] ( x_1 <= 0.5155 ) or eventually[32,34] ( x_0 <= -0.7297 ) ) and ( ( x_0 <= -0.7929 until[29,32] x_3 <= 0.6407 ) or ( x_2 >= -0.8841 and x_3 >= 0.0895 ) ) ) and ( eventually[20,28] ( ( x_1 <= 1.4223 or x_0 >= 0.0946 ) ) and ( ( x_0 <= -0.4174 until[26,29] x_1 >= 0.1135 ) or always[4,inf] ( x_1 <= 0.9249 ) ) ) )"
154,"always[34,36] ( eventually[4,35] ( eventually[29,inf] ( not ( x_2 >= -1.5195 ) ) ) )"
155,"eventually[9,30] ( not ( not ( ( x_3 <= 0.2621 or x_0 <= 1.2135 ) ) ) )"
156,"( always[10,20] ( not ( ( x_0 <= 0.6053 and x_1 <= 1.243 ) ) ) until[8,inf] ( ( ( x_0 <= -0.1 until[21,32] x_0 <= 0.7114 ) until[22,27] ( x_0 <= -0.4971 or x_3 <= 2.1856 ) ) or ( always ( x_3 <= 1.0008 ) or eventually[24,34] ( x_1 >= 0.9512 ) ) ) )"
157,"not ( ( ( ( x_2 >= -1.1584 and x_2 >= 0.9971 ) or eventually[13,19] ( x_2 >= -0.0845 ) ) or not ( ( x_3 >= 0.4864 or x_1 <= -1.4863 ) ) ) )"
158,"always ( eventually[9,17] ( ( not ( x_3 <= -0.7555 ) and ( x_3 >= -0.9386 or x_0 <= 0.3996 ) ) ) )"
159,"( ( not ( not ( x_2 <= -0.0585 ) ) or always[32,36] ( ( x_0 >= 0.5617 or x_3 <= 0.9664 ) ) ) until[19,22] ( ( ( x_2 <= -0.2709 and x_3 <= 1.2708 ) and ( x_0 >= -0.9794 or x_3 <= 0.0843 ) ) and not ( not ( x_1 <= 0.3152 ) ) ) )"
160,"not ( ( ( always[5,14] ( x_2 >= -0.403 ) or ( x_3 <= -1.1712 or x_2 >= -1.0688 ) ) and always[23,25] ( ( x_0 <= -1.2977 until[32,inf] x_0 >= 2.2597 ) ) ) )"
161,"eventually[12,20] ( always[15,inf] ( eventually[15,22] ( not ( x_1 >= 0.032 ) ) ) )"
162,"( ( ( ( x_3 <= -0.2684 or x_0 >= -1.7734 ) or ( x_2 >= -0.0444 or x_0 <= -0.0112 ) ) and ( always[31,35] ( x_2 >= -0.8319 ) and ( x_1 >= 0.6965 until[12,30] x_0 <= 1.7135 ) ) ) or ( ( always[10,23] ( x_1 >= -0.1495 ) or ( x_2 <= -1.1502 until[7,29] x_0 <= -0.9528 ) ) and ( always[26,30] ( x_2 >= 0.7149 ) until[15,33] not ( x_2 <= 0.6597 ) ) ) )"
163,"not ( ( ( ( x_3 >= -1.8656 or x_3 >= -0.1309 ) and ( x_0 <= 0.099 and x_2 >= -0.2983 ) ) and eventually[24,29] ( ( x_2 <= 0.6044 and x_2 <= 0.5174 ) ) ) )"
164,"( ( always[15,inf] ( ( x_2 >= 2.6291 or x_3 <= 0.8363 ) ) and ( ( x_1 >= -0.0094 and x_0 <= -1.4687 ) and ( x_0 >= 3.2746 and x_0 >= 0.2194 ) ) ) until[19,28] ( ( ( x_3 >= -0.8338 and x_0 <= 0.1723 ) or ( x_2 <= 0.5899 and x_0 >= -0.4407 ) ) or ( ( x_3 >= -1.1076 until[3,15] x_0 <= -0.188 ) and ( x_2 >= -0.6012 until[29,35] x_0 >= 0.5375 ) ) ) )"
165,"eventually[16,27] ( ( not ( ( x_2 >= -0.4157 or x_0 >= -0.3431 ) ) and always[19,24] ( ( x_0 >= -1.7074 and x_0 <= 0.7124 ) ) ) )"
166,not ( not ( ( ( x_2 >= -1.8991 and x_2 <= -0.3998 ) or ( x_1 <= -0.2151 and x_0 >= -0.7962 ) ) ) )
167,"( always[5,26] ( ( eventually ( x_3 <= 1.5122 ) or ( x_2 >= -1.7069 and x_0 <= 1.6268 ) ) ) or ( always[25,inf] ( ( x_0 <= 0.1497 until[22,24] x_3 >= 0.0138 ) ) and ( always[2,18] ( x_1 >= 0.0246 ) or ( x_1 <= 1.0624 and x_2 <= -1.4883 ) ) ) )"
168,"( always[3,30] ( ( not ( x_0 >= -1.6471 ) or ( x_0 <= 0.1495 until x_1 >= 0.2043 ) ) ) until[32,36] eventually[34,inf] ( not ( ( x_3 <= -0.5765 and x_0 <= -0.1405 ) ) ) )"
169,"not ( ( ( ( x_0 >= 0.7776 until[16,inf] x_0 >= -0.329 ) or ( x_3 >= 0.7485 or x_2 >= -1.2004 ) ) until ( always[16,25] ( x_2 <= 0.0795 ) or always[4,28] ( x_3 <= 0.6434 ) ) ) )"
170,"( eventually[3,21] ( not ( always ( x_2 <= 0.0191 ) ) ) or ( always ( ( x_3 <= -1.2803 until[6,21] x_2 >= -0.2624 ) ) or not ( ( x_2 >= -0.5514 until[24,33] x_2 <= 0.2532 ) ) ) )"
171,"( ( not ( ( x_2 >= 0.4475 until[14,inf] x_3 <= -0.6131 ) ) or ( eventually[31,34] ( x_2 >= -1.032 ) or ( x_0 >= 1.0049 or x_3 >= 1.4333 ) ) ) until[30,34] always ( ( not ( x_1 <= 1.7224 ) or not ( x_1 >= 0.5574 ) ) ) )"
172,"always[6,inf] ( always[3,34] ( ( ( x_0 >= -0.7301 until[1,inf] x_1 >= -0.2714 ) or ( x_2 >= -0.5351 until[1,inf] x_0 >= 1.3246 ) ) ) )"
173,"( always ( ( not ( x_0 <= 0.4175 ) until ( x_2 >= 0.5583 or x_3 <= 1.0727 ) ) ) until[27,35] ( ( eventually[18,33] ( x_0 >= -1.6082 ) or eventually[27,35] ( x_2 >= 0.2162 ) ) and ( always[8,27] ( x_3 >= 1.015 ) or ( x_2 <= 0.2363 until[13,22] x_0 <= -0.5257 ) ) ) )"
174,"always[3,18] ( always ( ( not ( x_1 >= 1.6155 ) or ( x_2 <= 1.3174 and x_1 >= -0.0554 ) ) ) )"
175,"eventually ( always[12,21] ( always[34,36] ( not ( x_1 >= -1.7923 ) ) ) )"
176,"always[12,33] ( always[27,29] ( ( ( x_2 <= -1.4064 and x_3 <= 1.8926 ) and always[23,inf] ( x_3 <= -1.3787 ) ) ) )"
177,"always[9,18] ( eventually[32,36] ( ( ( x_2 <= -0.293 and x_1 >= -0.1011 ) or always[14,24] ( x_0 >= -1.2861 ) ) ) )"
178,"( ( ( always[12,34] ( x_3 <= -1.1945 ) or not ( x_3 <= -0.16 ) ) or ( ( x_2 <= -0.796 or x_2 <= -0.9281 ) or ( x_0 >= -0.1229 until x_0 <= -0.3535 ) ) ) until[18,23] ( not ( always[11,16] ( x_1 <= -0.1296 ) ) and always[19,23] ( ( x_1 >= 0.868 until x_3 >= -0.8652 ) ) ) )"
179,"( ( ( always ( x_3 <= -1.2826 ) until[34,36] not ( x_3 <= -2.3552 ) ) or ( not ( x_3 <= -0.8107 ) or ( x_3 >= -0.0598 or x_2 <= 0.0079 ) ) ) and ( ( always[19,28] ( x_0 <= 0.7495 ) until[19,28] ( x_1 >= 0.1982 and x_3 >= 0.5706 ) ) until[3,inf] ( always[15,34] ( x_2 >= -2.6036 ) or ( x_2 <= 0.9523 until[21,31] x_0 <= -0.7616 ) ) ) )"
180,"eventually[27,36] ( ( eventually[30,inf] ( eventually[3,9] ( x_3 >= -1.3931 ) ) or not ( not ( x_0 >= -2.5992 ) ) ) )"
181,"( ( ( ( x_0 <= -0.4442 until[3,24] x_1 <= 0.1907 ) or not ( x_1 <= -1.9506 ) ) or eventually[14,31] ( always[33,36] ( x_1 <= 0.7341 ) ) ) and ( eventually[30,35] ( eventually[10,12] ( x_0 >= -0.1157 ) ) or always[29,31] ( ( x_2 >= -0.1586 until x_0 <= -0.93 ) ) ) )"
182,"eventually[6,12] ( ( not ( always[13,16] ( x_2 >= -0.2779 ) ) until[20,32] eventually[26,inf] ( ( x_2 >= 0.9281 and x_0 <= 0.8289 ) ) ) )"
183,"( eventually[2,11] ( eventually[29,31] ( not ( x_0 >= 0.5148 ) ) ) until[2,29] not ( not ( ( x_2 >= 1.6575 until x_2 <= -0.0116 ) ) ) )"
184,"( always[2,32] ( ( ( x_1 >= 0.897 or x_2 >= -1.1889 ) until[21,31] not ( x_2 >= -1.7962 ) ) ) and ( always[13,21] ( ( x_2 >= 1.768 until[34,36] x_2 >= -1.2131 ) ) and eventually[14,36] ( ( x_3 <= 0.979 and x_0 <= -0.2294 ) ) ) )"
185,"( ( ( ( x_3 <= 1.1959 and x_2 <= -0.5679 ) or ( x_1 <= 0.3538 or x_3 >= -0.124 ) ) and ( eventually[23,32] ( x_3 >= -2.6654 ) or ( x_3 >= 0.8179 and x_0 <= 0.192 ) ) ) or eventually[25,28] ( always[2,29] ( ( x_0 <= -0.538 and x_0 <= 0.6831 ) ) ) )"
186,"( ( ( always[13,22] ( x_3 >= -0.1818 ) until[19,35] eventually ( x_2 <= 0.4798 ) ) or ( ( x_1 >= 1.0819 or x_1 <= -2.188 ) until[29,35] eventually[34,inf] ( x_3 <= -1.4829 ) ) ) or ( always[18,27] ( ( x_1 <= -0.9066 and x_1 <= -0.1928 ) ) and always[23,33] ( eventually[24,inf] ( x_3 >= -1.2281 ) ) ) )"
187,"( not ( ( ( x_2 >= 1.7037 until[6,24] x_3 >= -0.9106 ) until[15,29] not ( x_2 <= 1.199 ) ) ) or ( ( ( x_3 >= -0.1511 or x_3 <= -0.2267 ) and eventually[8,35] ( x_0 >= -0.1888 ) ) or always[13,16] ( not ( x_2 <= -1.4528 ) ) ) )"
188,"( ( eventually ( eventually[6,21] ( x_3 <= 0.9851 ) ) or ( ( x_0 >= -0.0738 until[3,28] x_1 <= -0.3009 ) and not ( x_2 <= -1.4396 ) ) ) or ( eventually[29,33] ( always[27,30] ( x_3 <= -0.4777 ) ) and not ( ( x_0 >= -1.9175 or x_2 <= 0.6104 ) ) ) )"
189,"eventually ( ( eventually[33,35] ( eventually ( x_0 <= -1.9847 ) ) or eventually[20,29] ( eventually[10,inf] ( x_3 >= -0.9535 ) ) ) )"
190,"not ( always[24,27] ( eventually[20,inf] ( not ( x_3 >= -0.0157 ) ) ) )"
191,"always[24,32] ( not ( ( not ( x_1 >= -1.5513 ) or always[20,inf] ( x_1 <= 0.3596 ) ) ) )"
192,"not ( eventually[21,28] ( eventually[1,3] ( not ( x_3 <= 2.2206 ) ) ) )"
193,"always[8,13] ( eventually[25,32] ( ( ( x_1 <= 0.7963 until[19,34] x_1 <= -0.3397 ) or eventually ( x_3 >= 0.4565 ) ) ) )"
194,"eventually[10,27] ( always[1,22] ( ( eventually[33,36] ( x_1 <= -0.2573 ) and ( x_3 <= -2.1603 and x_0 >= -0.8679 ) ) ) )"
195,"not ( eventually[23,34] ( ( always[4,23] ( x_1 <= 0.5837 ) or ( x_0 >= -0.1276 or x_2 <= 1.2672 ) ) ) )"
196,"eventually[34,36] ( ( ( ( x_0 >= -1.6344 and x_3 >= -0.8639 ) until eventually ( x_2 >= -0.6642 ) ) and ( ( x_0 <= -1.3732 until[28,32] x_0 <= -0.8446 ) and ( x_1 >= 0.3585 and x_3 <= 0.1203 ) ) ) )"
197,"( ( ( ( x_2 <= 1.4968 or x_0 >= -0.9855 ) and ( x_3 >= 0.1676 until[13,24] x_3 <= 1.2689 ) ) or not ( ( x_3 >= -1.1356 or x_0 >= -1.5962 ) ) ) until[7,13] ( always[13,inf] ( always[27,29] ( x_2 <= 0.2923 ) ) and ( ( x_0 >= -0.98 or x_0 >= -0.6562 ) or always[18,36] ( x_3 <= 1.6408 ) ) ) )"
198,"always[31,36] ( not ( ( eventually[30,33] ( x_1 <= 0.0029 ) and ( x_0 >= -1.455 until x_3 <= -0.936 ) ) ) )"
199,"( not ( ( ( x_2 >= 0.7477 or x_3 <= -0.1445 ) and not ( x_1 <= -1.8012 ) ) ) until always[25,32] ( ( always[29,33] ( x_2 <= -1.9007 ) and not ( x_3 <= -0.256 ) ) ) )"
200,"( ( not ( eventually[28,35] ( x_2 <= 1.1143 ) ) until[8,35] always[5,26] ( ( x_1 >= -0.1924 or x_1 >= -1.0243 ) ) ) and not ( not ( always[5,inf] ( x_1 <= -0.9997 ) ) ) )"
201,"always[23,30] ( ( ( not ( x_0 <= -1.3101 ) or not ( x_1 >= 0.7978 ) ) and not ( eventually[28,36] ( x_3 >= 0.048 ) ) ) )"
202,"( eventually[20,34] ( ( ( x_0 <= -1.2351 and x_1 >= -0.204 ) until[7,27] not ( x_0 >= 0.9194 ) ) ) or not ( ( always[10,25] ( x_3 >= 0.1044 ) and not ( x_2 <= -0.5011 ) ) ) )"
203,"always ( ( ( always[32,34] ( x_1 <= -0.3839 ) or ( x_3 >= -0.9392 or x_2 >= 0.4787 ) ) and always ( ( x_1 >= 2.0564 and x_0 <= 0.7493 ) ) ) )"
204,"not ( ( always[14,25] ( ( x_0 <= 0.0281 until[13,29] x_0 >= 0.0802 ) ) until[21,inf] ( ( x_1 >= -1.0836 and x_2 <= 0.1173 ) or ( x_1 <= 1.0666 or x_3 <= 0.3883 ) ) ) )"
205,"not ( eventually[1,35] ( ( eventually[33,35] ( x_1 <= 0.0448 ) and eventually[11,24] ( x_1 >= -0.5266 ) ) ) )"
206,"not ( not ( always[23,35] ( not ( x_3 <= -0.8953 ) ) ) )"
207,"( ( ( ( x_2 >= 0.0094 and x_3 <= -0.7583 ) until[4,inf] always[14,17] ( x_0 <= 1.0286 ) ) until[6,20] not ( ( x_0 >= -0.3023 or x_3 >= -0.9233 ) ) ) and eventually[12,inf] ( ( ( x_1 <= -0.6475 and x_2 >= -0.1559 ) and ( x_1 >= 0.0049 and x_3 <= -0.9595 ) ) ) )"
208,"always[14,inf] ( always ( always[13,inf] ( eventually ( x_1 <= 1.2101 ) ) ) )"
209,"( always[20,30] ( ( ( x_3 <= 0.2446 until[1,inf] x_0 <= -0.7 ) and not ( x_2 >= 0.0541 ) ) ) until[25,28] not ( not ( not ( x_3 >= 0.606 ) ) ) )"
210,"eventually[29,31] ( not ( not ( eventually[24,32] ( x_1 >= -0.6533 ) ) ) )"
211,"( ( eventually[34,36] ( not ( x_1 <= 0.5003 ) ) and always[31,34] ( ( x_1 <= 0.628 until[17,inf] x_0 <= 1.4083 ) ) ) or eventually[0,8] ( ( eventually[19,26] ( x_3 <= -1.0351 ) and ( x_2 >= -0.1791 or x_3 >= -1.2183 ) ) ) )"
212,"eventually[0,3] ( eventually[6,29] ( eventually[20,30] ( ( x_2 <= -0.4414 until[13,36] x_2 <= 0.2294 ) ) ) )"
213,"eventually[27,33] ( ( ( ( x_0 >= 1.5449 and x_1 <= -0.8585 ) until[21,31] ( x_3 <= 0.3121 and x_3 <= -0.8456 ) ) until[29,34] not ( ( x_3 <= -0.0476 and x_2 >= 0.4734 ) ) ) )"
214,"( ( eventually[8,inf] ( ( x_0 >= 1.571 until[34,36] x_1 >= 0.5674 ) ) and not ( ( x_1 <= -0.616 and x_1 >= -1.2685 ) ) ) and always[20,25] ( ( eventually[0,16] ( x_3 >= 0.9986 ) until[9,28] eventually ( x_1 <= 0.742 ) ) ) )"
215,"( ( ( ( x_2 >= -1.0503 until x_1 <= 1.0068 ) or eventually[30,33] ( x_2 >= 0.9966 ) ) and always ( ( x_3 <= 0.2154 or x_3 <= 1.4449 ) ) ) until[2,32] ( ( ( x_1 <= 0.757 and x_1 <= -0.7237 ) until[19,inf] ( x_2 <= -2.3799 until[9,inf] x_0 <= 0.4856 ) ) or ( ( x_0 >= 3.1811 or x_1 <= -0.0147 ) and not ( x_0 >= -0.1176 ) ) ) )"
216,"eventually[32,inf] ( always[5,inf] ( ( not ( x_1 <= -0.3303 ) or ( x_0 >= -0.1212 or x_2 <= -0.2283 ) ) ) )"
217,"not ( eventually[8,17] ( always[2,9] ( ( x_1 >= -0.0024 or x_1 >= 1.0849 ) ) ) )"
218,"eventually[9,23] ( ( eventually ( always[18,30] ( x_3 <= 0.316 ) ) until[0,12] ( ( x_3 <= 0.7247 until x_0 <= 0.2713 ) or eventually[17,32] ( x_1 <= 0.1286 ) ) ) )"
219,"( ( ( always[11,22] ( x_1 <= 0.1751 ) until[0,17] always ( x_3 >= 1.6915 ) ) and not ( ( x_2 <= -0.0047 or x_0 <= -0.4006 ) ) ) and ( ( eventually[31,36] ( x_2 <= -0.6302 ) or ( x_0 <= -0.2022 until x_2 <= 1.4319 ) ) until[14,17] always[27,inf] ( not ( x_3 <= -0.7073 ) ) ) )"
220,"( eventually[3,10] ( ( ( x_3 >= 0.1084 and x_2 <= 0.077 ) or not ( x_1 <= -1.0956 ) ) ) and ( not ( ( x_1 >= -0.0489 or x_1 >= -0.154 ) ) or ( ( x_2 >= 1.0804 until[22,35] x_2 <= -0.9782 ) and always ( x_0 >= -0.8784 ) ) ) )"
221,"( not ( ( eventually[30,33] ( x_0 <= -0.4196 ) and not ( x_1 >= -2.2392 ) ) ) and not ( not ( eventually[16,20] ( x_1 >= -0.8359 ) ) ) )"
222,"( ( ( not ( x_0 >= 1.2645 ) and ( x_0 >= 1.0721 until[11,31] x_3 >= -1.271 ) ) until[20,inf] ( ( x_1 <= -1.5251 until[13,31] x_1 >= -0.2688 ) or ( x_2 >= 0.7551 or x_3 <= -1.4885 ) ) ) and ( ( ( x_1 >= -0.0449 until[16,35] x_1 <= 0.0582 ) and always ( x_0 >= 1.1031 ) ) and eventually[30,inf] ( not ( x_3 >= 1.0596 ) ) ) )"
223,"always[24,29] ( always[32,34] ( not ( ( x_1 <= 1.723 until[21,35] x_3 >= -0.7788 ) ) ) )"
224,"( not ( ( ( x_0 <= 0.6033 or x_0 >= -1.417 ) and not ( x_3 <= 0.8844 ) ) ) or not ( always[30,36] ( not ( x_2 >= 0.4739 ) ) ) )"
225,"eventually[12,17] ( eventually[34,36] ( ( ( x_3 >= 0.6407 or x_3 <= -0.8776 ) or ( x_2 <= -0.8423 until[15,22] x_1 >= 0.6037 ) ) ) )"
226,"always[6,inf] ( always[14,26] ( ( not ( x_3 >= 0.3014 ) and ( x_0 >= 0.3554 and x_0 <= -0.8001 ) ) ) )"
227,"( ( not ( not ( x_3 >= 0.3863 ) ) until eventually[17,33] ( ( x_1 <= -0.1807 until[30,34] x_2 >= -1.131 ) ) ) or eventually[2,21] ( not ( ( x_2 <= 0.3052 until[20,22] x_1 <= 1.5018 ) ) ) )"
